Date,Open,High,Low,Close,Adj Close,Volume
2022-11-18,1.390000,1.390000,1.220000,1.280000,1.280000,326700
2022-11-21,1.310000,1.330000,1.210000,1.220000,1.220000,440900
2022-11-22,1.280000,1.290000,1.220000,1.270000,1.270000,241700
2022-11-23,1.280000,1.340000,1.160000,1.240000,1.240000,682100
2022-11-25,1.240000,1.300000,1.220000,1.280000,1.280000,162200
2022-11-28,1.340000,1.350000,1.260000,1.270000,1.270000,386800
2022-11-29,1.280000,1.310000,1.250000,1.270000,1.270000,319600
2022-11-30,1.260000,1.270000,1.200000,1.220000,1.220000,444400
2022-12-01,1.230000,1.230000,1.160000,1.190000,1.190000,319800
2022-12-02,1.210000,1.210000,1.100000,1.190000,1.190000,584100
